version_order,version_id,version_title,version_selector_title,version_title_mismatch,section_type,section_order,body_order,policy_title,common_title,fighter_order,fighter_id,fighter_alpha,fighter_tool_name,fighter_url_name,detail_order,detail_title,category,text_html,data_json_path
1,20260528,2026.05.28 update,2026.05.28 update,false,policy,1,,全体コンセプト,,,,,,,,,,今回のアップデートは投げ絡みの攻防に関するシステムの調整と、不具合の修正がメインとなります。<br><br>今回の調整では投げ抜け成功時のゲージ増加を抑える調整を行いました。<br>過去に近距離での選択肢のリスク・リターンを整え、<br>読み合いの幅を広げることを目的として投げ抜け成功時にドライブゲージ・SAゲージが増加するよう変更しましたが、<br>成功時のドライブゲージの増加量の多さ故に、<br>通常投げを狙うメリットが小さくなりすぎている場面が増えたと判断しての調整となります。<br><br>主に守勢側のドライブゲージ量が少ない時や、バーンアウト中がこれに当たります。<br>こういった状況での投げ抜け成立時は状況が一転してしまうことから、<br>本来はチャンスである筈の攻勢側が通常投げを選びにくくなっていました。<br>読み合いの質が変化するのは意図したものではありますが、<br>投げ抜け成功時に攻守のターンが入れ替わる頻度が想定よりも多くなっていた為、<br>後述する起き上がり時のドライブリバーサルの調整も考慮し、投げ抜け成立時のゲージの増加量を変更しました。<br><br>起き上がり時のドライブリバーサルは、無敵時間中に投げ判定を避けるとドライブゲージが10000回復するよう変更しました。<br>守勢時にどのタイミングでも狙える投げ抜けとは異なり、<br>発動できる状況が限られ、コストも必要な起き上がり時のドライブリバーサルにおいて、<br>大きく読み勝った状況となる相手の投げに対して発動できた際のリターンを上げています。<br><br>その他、通常投げでパニッシュカウンターを取った際に、相手のSAゲージ増加量を通常ヒット時と同等にする調整を行いました。<br>投げを成立させた側は以前までと変わらず通常時の2倍SAゲージが溜まるので、<br>打撃に対して強力な防御手段であるドライブパリィに対して通常投げを合わせ、読み勝った際の見返りを大きくしました。<br>こういった場面の他にも、相手の大きな隙に対する反撃の際に、<br>相手のSAゲージ増加を抑えつつまとまったダメージを与える選択肢としても活用できます。<br>ラウンドが残っている状況でのとどめの選択肢として特に機能するでしょう。<br><br>その他の変更点は主に不具合修正となります。<br>調整内容の詳細に関しては、キャラクター別の調整リストをご確認ください。,raw/battle-change/official/versions/20260528/data.json
1,20260528,2026.05.28 update,2026.05.28 update,false,common,1,1,,ドライブリバーサル（起き上がり時）,,,,,,,,調整,攻撃発生前の無敵時間中に相手の投げ技を避けた際に、ドライブゲージが10000増加するように変更しました。,raw/battle-change/official/versions/20260528/data.json
1,20260528,2026.05.28 update,2026.05.28 update,false,common,2,1,,通常投げ,,,,,,,,調整,通常投げがパニッシュカウンターした際のSAゲージ増加量を、相手のみ通常ヒット時と同じ増加量になるよう変更しました。<br><br>・通常ヒット時<br>攻撃側：2000<br>相手側：1400<br><br>・パニッシュカウンター時<br>攻撃側：4000<br>相手側：2800⇒1400,raw/battle-change/official/versions/20260528/data.json
1,20260528,2026.05.28 update,2026.05.28 update,false,common,3,1,,投げ抜け,,,,,,,,調整,投げ抜けが成立した際の各種ゲージの増加量を変更しました。<br><br>①ドライブゲージの増加量を10000⇒5000に変更しました。<br>②SAゲージの増加量を1000⇒0に変更しました。,raw/battle-change/official/versions/20260528/data.json
1,20260528,2026.05.28 update,2026.05.28 update,false,common,4,1,,飛び道具の相殺に関して,,,,,,,,調整・不具合修正,SAの多段飛び道具同士が相殺した際に、特定の組み合わせかつタイミングや距離が重なった限定的な状況において、<br>初段相殺後に打ち勝つ結果が一定にならない組み合わせがあった為、結果にぶれが生じないよう修正を行いました。<br><br>本修正により、SAの多段飛び道具が相殺した際の処理を変更している為、<br>SA相殺時の結果が以前までと異なるケースがあることをご了承ください。,raw/battle-change/official/versions/20260528/data.json
1,20260528,2026.05.28 update,2026.05.28 update,false,common,5,1,,SAのコマンド入力に関して,,,,,,,,不具合修正,一部のキャラクター・操作タイプのSAにおいて、コマンド入力後に攻撃ボタンを押下するタイミングで特定の方向キーが入力されていると、SAが発動しなくなってしまう現象を修正しました。<br><br>対象となる操作タイプとキャラクター・SA・NGとなる方向は下記となります。<br><br>■クラシック<br>・エド<br>SA3（SAキャンセル時のみ)　←方向<br><br>■モダン（手動入力）<br>・リュウ<br>SA2　↓or↑方向<br><br>・春麗<br>SA1・2・3　↑方向<br><br>・豪鬼<br>SA2　↑方向<br><br>・舞<br>SA1・2・3　↑方向<br><br>・ヴァイパー<br>SA1　↓or←方向,raw/battle-change/official/versions/20260528/data.json
1,20260528,2026.05.28 update,2026.05.28 update,false,fighter,1,1,,,1,ジェイミー,JAMIE,jamie,jamie,1,円月脚<br>(→+中K＞中K＞P),調整,①2段目の攻撃判定とガード待機判定を前方へ拡大、攻撃発生前の前進量を増加し、ヒット・ガード時に2段目以降を届きやすくしました。<br>②2段目のヒット/ガードバックをジェイミー側に引き寄せるようにしました。,raw/battle-change/official/versions/20260528/data.json
1,20260528,2026.05.28 update,2026.05.28 update,false,fighter,2,1,,,2,キンバリー,KIMBERLY,kimberly,kimberly,1,【SA1】武神乱拍子<br>(↓↘→↓↘→+K),不具合修正,細工手裏剣ストックが0の際に後ろ受け身が取りづらかった現象を修正しました。,raw/battle-change/official/versions/20260528/data.json
1,20260528,2026.05.28 update,2026.05.28 update,false,fighter,3,1,,,3,マリーザ,MARISA,marisa,marisa,1,マレウスビート<br>(↘+強P＞↘+強P),調整,①2段目の攻撃判定とガード待機判定を前方へ拡大、攻撃発生前の前進量を増加し、ヒット・ガード時に2段目以降を届きやすくしました。<br>②2段目後のやられ判定を、①の攻撃判定拡大と同じ分だけ前方に拡大しました。,raw/battle-change/official/versions/20260528/data.json
1,20260528,2026.05.28 update,2026.05.28 update,false,fighter,4,1,,,4,JP,JP,jp,jp,1,【SA3/CA】ザプリェット<br>(↓↘→↓↘→+K),不具合修正,前進量の強い技に対して発動した際に、相手をうまくサーチしないことがある現象を緩和しました。,raw/battle-change/official/versions/20260528/data.json
